category,subcategory,uniformat code,uniformat description,url,title
ESTCP,,D303001,CHILLED WATER SYSTEMS,https://serdp-estcp.mil/projects/details/89bfd0a2-b4c0-49dc-bcd4-1bbbd00fb228,"Advanced HVAC Load Management using Cascade Controls Integrating Chillers, Air Handling Units, and Terminal Boxes"
ESTCP,,D304001,"AIR DISTRIBUTION, HEATING & COOLING",https://serdp-estcp.mil/projects/details/89bfd0a2-b4c0-49dc-bcd4-1bbbd00fb228,"Advanced HVAC Load Management using Cascade Controls Integrating Chillers, Air Handling Units, and Terminal Boxes"
ESTCP,,D304008,AIR HANDLING UNITS,https://serdp-estcp.mil/projects/details/89bfd0a2-b4c0-49dc-bcd4-1bbbd00fb228,"Advanced HVAC Load Management using Cascade Controls Integrating Chillers, Air Handling Units, and Terminal Boxes"
ESTCP,,D306001,HVAC CONTROLS,https://serdp-estcp.mil/projects/details/89bfd0a2-b4c0-49dc-bcd4-1bbbd00fb228,"Advanced HVAC Load Management using Cascade Controls Integrating Chillers, Air Handling Units, and Terminal Boxes"
ESTCP,,D306002,ELECTRONIC CONTROLS,https://serdp-estcp.mil/projects/details/89bfd0a2-b4c0-49dc-bcd4-1bbbd00fb228,"Advanced HVAC Load Management using Cascade Controls Integrating Chillers, Air Handling Units, and Terminal Boxes"
ESTCP,,D306003,PNEUMATIC CONTROLS,https://serdp-estcp.mil/projects/details/89bfd0a2-b4c0-49dc-bcd4-1bbbd00fb228,"Advanced HVAC Load Management using Cascade Controls Integrating Chillers, Air Handling Units, and Terminal Boxes"
ESTCP,,D304001,"AIR DISTRIBUTION, HEATING & COOLING",https://serdp-estcp.mil/projects/details/3a1c268b-0139-4424-a7a0-7f850df52aad,Immersion Cooling of Electronics in DoD Installations
ESTCP,,D306002,ELECTRONIC CONTROLS,https://serdp-estcp.mil/projects/details/3a1c268b-0139-4424-a7a0-7f850df52aad,Immersion Cooling of Electronics in DoD Installations
ESTCP,,D303002,DIRECT EXPANSION SYSTEMS,https://serdp-estcp.mil/projects/details/5499c47b-1148-4269-ba6d-da98ccc23c08,Subsurface Thermal Energy Storage for Improved Heating and Air Conditioning Efficiency
ESTCP,,D502002,LIGHTING EQUIPMENT,https://serdp-estcp.mil/projects/details/e9bd05b6-616e-4aea-b354-a1aff6bb1a52,Validating the Digital Lumens LED Lighting Control Retrofit
ESTCP,,D306001,HVAC CONTROLS,https://serdp-estcp.mil/projects/details/55639512-d0a9-4b53-a6d5-15da7fcd00c5,Comprehensive Information Transfer Approaches for Advanced Building Controls and Management Projects
ESTCP,,D306002,ELECTRONIC CONTROLS,https://serdp-estcp.mil/projects/details/55639512-d0a9-4b53-a6d5-15da7fcd00c5,Comprehensive Information Transfer Approaches for Advanced Building Controls and Management Projects
ESTCP,,D306003,PNEUMATIC CONTROLS,https://serdp-estcp.mil/projects/details/55639512-d0a9-4b53-a6d5-15da7fcd00c5,Comprehensive Information Transfer Approaches for Advanced Building Controls and Management Projects
ESTCP,,D302001,BOILERS,https://serdp-estcp.mil/projects/details/739d67ad-03e0-4ae0-ac25-b7ab5db3bdd9,Central Plant Optimization for Waste Energy Reduction
ESTCP,,D303001,CHILLED WATER SYSTEMS,https://serdp-estcp.mil/projects/details/739d67ad-03e0-4ae0-ac25-b7ab5db3bdd9,Central Plant Optimization for Waste Energy Reduction
ESTCP,,D303001,CHILLED WATER SYSTEMS,https://serdp-estcp.mil/projects/details/50799bb9-2566-4352-b540-efbc649aaf2b,Solving Low Delta T Syndrome in Hydronic Systems
