age,income,gender,ideology,treatment,group,partisanship,vote_conservative,rate_conservative
27,0.22422743953595703,0,-1.7982553753548025,1,e,republican,1,-0.1344361987860041
54,0.8335146881745844,1,8.812935446084985,1,b,democrat,1,-2.4171865416686886
33,-0.9689892507620902,0,-7.17452547567704,1,a,republican,0,1.6137111788816476
18,0.864170548301323,0,-2.3621585051302585,0,b,republican,0,0.16980395034157036
67,-1.0443831466148303,1,-2.5563590302063943,1,a,republican,1,0.08633611138208108
46,1.0278389288224563,0,-7.287068722096921,0,d,democrat,1,1.2057843608720216
43,-0.19682771467758184,0,3.9900920369267023,1,d,republican,0,-0.9939411103700113
47,-0.008167787582018061,1,5.192249351124399,0,c,republican,1,-1.6623834390543304
66,-0.41411949732022274,1,-4.07446731138283,1,d,republican,1,1.3404558506763888
47,-0.12881374208327814,0,-0.9345618325524683,1,d,republican,1,2.2387410215049783
67,-0.3190796789639896,1,-7.91096616525405,0,b,republican,1,1.7781568032838853
26,-1.461413642312067,0,1.5811262403649433,1,d,democrat,1,0.47002062986882676
27,-0.8284106994951189,0,-0.13704724760181364,1,b,republican,0,0.9293507827422557
18,-0.6253015485570184,0,-9.227524933260478,0,b,democrat,0,1.4070332243644141
60,0.26678601498376836,0,7.705950800968733,0,e,democrat,0,-0.8704787491485828
58,0.526014692943146,1,9.781297169092262,1,a,republican,0,-3.820259302504328
54,-0.30809239176457953,1,6.226758202457859,0,c,democrat,1,0.859207586555252
69,0.38403778549871426,1,-5.5030116102802396,1,d,democrat,1,2.5312196721517104
34,0.45069168226179995,0,6.876860743592712,0,b,democrat,0,0.3523634300202268
54,-0.309435625307979,0,8.733532529876914,1,d,republican,0,-3.3722890863708925
65,-2.4342086748899954,1,5.561283769108867,1,c,republican,0,-1.912871903206432
29,0.03488045778432449,0,-9.183326170412808,0,e,republican,1,2.5308145702106772
42,1.4540183424317497,0,-5.899192076855169,0,d,republican,1,0.1346875436386361
61,-0.5402564214198547,1,-8.907331127895333,1,e,republican,1,3.221128332773466
51,0.7401520388367903,1,8.041730649287906,1,c,republican,0,-3.1629501887598614
26,-0.7082899385831712,0,4.817583699754543,1,a,republican,0,-1.0979822617672261
